director
Julien Rambaldi
Julio Medem
Julius Avery
Julius Onah
Jun Falkenstein
Jun'ichi Satô
Jung Bum-shik
Junpei Mizusaki
Justin Baldoni
Justin Benson
Justin Chadwick
Justin Dec
Justin Kerrigan
Justin Kurzel
Justin Lin
Justin Reardon
Justin Simien
Justin Zackham
K.K. Radhakrishna Kumar
Kabir Khan
Kaige Chen
Kantemir Balagov
Kar-Wai Wong
Karan Johar
Karan Malhotra
Karen Maine
Karen Moncrieff
Karey Kirkpatrick
Kari Skogland
Karthik Subbaraj
Karyn Kusama
Kasi Lemmons
Kasper Barfoed
Kat Coiro
Katherine Brooks
Kathryn Bigelow
Katja von Garnier
Katsuhiro Ôtomo
Katt Shea
Kay Cannon
Kay Pollak
Kazuaki Kiriya
Keanu Reeves
Keenen Ivory Wayans
Keishi Otomo
Kelly Asbury
Kelly Fremon Craig
Kelly Makin
Kelly Reichardt
Ken Kwapis
